smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,SA_score,has_PAINS,PAINS_alert,PAINS_penalty,final_score,parent_seed,round
C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,9.113984078401435,0.008074326960102487,0.8185291858113687,309.32900000000006,1.95082,87.44,2,6,0.0,2.1500000000000004,False,,0.0,9.192674344347017,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,1
C=CC(=O)NC1=COC=C2N=CN=C(Nc3cccc(C)c3)C21,9.100234860675844,0.020178506873168068,0.8423852863139648,308.34100000000007,2.47872,75.08,2,5,0.0,2.25,False,,0.0,9.163748996959658,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,1
C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(F)c3)C21,9.055274655763263,0.01515204864525719,0.81873646341932,315.283,1.989,78.21000000000001,2,5,0.0,2.1500000000000004,False,,0.0,9.126990838827666,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(Cl)c3)C21,1
C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(Cl)c(Cl)c3)C21,9.002891249773626,0.017725019639629743,0.8061853941744007,348.1930000000001,3.0176000000000007,78.21000000000001,2,5,0.0,2.1500000000000004,False,,0.0,9.065758927221196,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(Cl)c3)C21,1
C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(Br)c3)C21,9.034126133483245,0.024439002255429648,0.7788345040932567,376.189,2.612400000000001,78.21000000000001,2,5,0.0,2.324593333333334,False,,0.0,9.050415383274444,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(Cl)c3)C21,1
O=C(CCN1CCN(CO)CC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.298944357203279,0.025088148476668966,0.47389194166602244,485.38600000000014,3.031900000000001,93.62,3,7,0.0,3.4025733333333346,False,,0.0,9.00041617955962,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,1
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CCO1,9.24139827118811,0.021536885658210412,0.5518621847346737,485.3860000000002,3.6435000000000013,82.62,2,7,0.0,3.3025733333333345,False,,0.0,9.000406477897236,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,1
C=CC(=N)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.075602470920359,0.04509748085084512,0.5775653740995258,292.346,2.4698900000000004,84.99000000000001,3,5,0.0,2.1500000000000004,False,,0.0,8.996787677119276,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,1
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)COC1,9.214878082082638,0.017472087161641035,0.5518621847346737,485.3860000000002,3.6435000000000013,82.62,2,7,0.0,3.3025733333333345,False,,0.0,8.977951087288334,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,1
C=CC(=O)NC1=NOC=C2N=CN=C(Nc3ccc(F)c(Cl)c3)C21,8.897762430861299,0.009424082282783476,0.8053650664284242,347.7370000000001,2.4349000000000007,87.44,2,6,0.0,2.1500000000000004,False,,0.0,8.968520881792728,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(Cl)c3)C21,1
C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(Br)c(Cl)c3)C21,8.974917953757704,0.026879975792444576,0.7585634917142181,392.644,3.1267000000000014,78.21000000000001,2,5,0.0,2.4342933333333336,False,,0.0,8.962175723822366,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(Cl)c3)C21,1
CN(CO)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.209330325576182,0.03553138191721485,0.4499013198121037,441.89400000000023,3.4928000000000017,81.59,2,6,0.0,3.012626666666668,False,,0.0,8.94685560356502,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,1
O=C(CCN1CCCCOC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.142142216133394,0.02201531956894424,0.5512062923021829,470.3710000000001,4.534400000000003,79.38,2,6,0.0,3.202473333333334,False,,0.0,8.915359042715542,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1
O=C(/C=C/CO)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.99846186358378,0.019771669206252333,0.6194114318502946,399.24800000000005,3.1910000000000007,88.0,2,6,0.0,2.528320000000001,False,,0.0,8.909147910302675,C/C=C/C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1
C=CC(=N)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,8.99878734735417,0.0541574422750778,0.5914466494556185,291.358,2.997790000000001,72.63,3,4,0.0,2.25,False,,0.0,8.902853229806903,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,1
NC(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.047488927100469,0.018126810325921092,0.5253198346334698,401.2680000000001,3.2083000000000004,105.82000000000001,3,6,0.0,2.6417866666666674,False,,0.0,8.895754034091283,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1
CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1OCCN3c1ccc(F)c(Cl)c1,9.08695842280262,0.056179116496761494,0.6031575474128575,441.8940000000001,4.009100000000003,70.59,1,6,0.0,2.912626666666667,False,,0.0,8.895464080012287,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,1
CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1COCN3c1ccc(F)c(Cl)c1,9.086944445897664,0.06381141329530904,0.6008671398534896,441.8940000000001,4.104400000000003,70.59,1,6,0.0,2.912626666666667,False,,0.0,8.8866726025291,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,1
C=CC(=O)NOC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.911116980187144,0.03513723193907739,0.6463330005515724,309.32900000000006,1.95082,87.44,2,6,0.0,2.1500000000000004,False,,0.0,8.876646248523853,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,1
C/C=C/C(=N)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.92079308994514,0.013923958327944783,0.6292319229818523,382.2650000000001,4.669270000000003,74.55000000000001,2,5,0.0,2.315100000000001,False,,0.0,8.874220093108121,C/C=C/C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1
